rank,track_name,artist_name,release_date,duration,song_popularity,album_name,album_img,track_uri,artist_uri,album_uri
36,CROWN,CHIKA,3/13/20,175836,45,INDUSTRY GAMES,https://i.scdn.co/image/ab67616d0000b273a4bd1820c34c24c2f6a31514,spotify:track:7yewACUEo8jX7oLhSaNzBs,spotify:artist:6UtYvUtXnmg5EtllDFlWp8,spotify:album:0tTGA5SQN17ewHMpisb0n0
37,Hallucinogenics - Vallis Alps Remix,Matt Maeson,2/4/16,190016,59,The Remixes,https://i.scdn.co/image/ab67616d0000b27371c8d2956ba0948550ce9b35,spotify:track:5BcgMsAhoEgR6nmZHhAZEg,spotify:artist:7gHscNMDI8FF8pcgrV8eIn,spotify:album:6zlL9iPoskUac2lsMN1r00
38,ruminate,slenderbodies,9/20/19,193773,42,komorebi,https://i.scdn.co/image/ab67616d0000b2736fb36b767889fd227d6d7ffc,spotify:track:5GA7lb2ezcO3K8YAuJ2eq6,spotify:artist:3S4d3YRNGg2OhnNm3QvfhA,spotify:album:6JZtYt3v32a9sTRxPlMZEn
39,Hallucinogenics,Matt Maeson,4/5/19,187173,69,Bank On The Funeral,https://i.scdn.co/image/ab67616d0000b273361d711120142f467651a312,spotify:track:6bLU8e0LGyztE9iD5DWBQ1,spotify:artist:7gHscNMDI8FF8pcgrV8eIn,spotify:album:3IQhe9N4j1tXTwKlhT2FsL
40,Learn to Fly,FKJ,7/21/14,268170,54,Take Off,https://i.scdn.co/image/ab67616d0000b273bfaee46637906da1506c07be,spotify:track:0IjCJNyvBcbC2XV2mwehuO,spotify:artist:2FwDTncULUnmANIh7qKa5z,spotify:album:5OcN75jhxA156Jg60s88eP
41,Phone Numbers,Dominic Fike,7/4/19,146826,72,Phone Numbers,https://i.scdn.co/image/ab67616d0000b2731047fa3fb0151cf803d9c696,spotify:track:3f9Mzvd3URfbbIJBX4pz9Z,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs,spotify:album:6RhSCF1Z3g95Q1rZWqpUdT
42,Soiree,Ark Patrol,5/5/16,185898,28,Soiree,https://i.scdn.co/image/ab67616d0000b273f6eb6c04bc48c67bd5428988,spotify:track:1HHv4KeSjn5VFIPQ4hd39c,spotify:artist:3zaxUd86U92CdZkNa6NUo9,spotify:album:2nD3t131rgxgAppgB8nI2y
43,Ballin' (with Roddy Ricch),Mustard,6/28/19,180434,79,Perfect Ten,https://i.scdn.co/image/ab67616d0000b27393b1e96fad758869d0974162,spotify:track:3QzAOrNlsabgbMwlZt7TAY,spotify:artist:0YinUQ50QDB7ZxSCLyQ40k,spotify:album:2WrNHOba5u6P9S9xEboaUy
44,Still Lovely,Banes World,6/4/16,117375,0,Drowsy,https://i.scdn.co/image/ab67616d0000b2737632811e20072fe3a59c444d,spotify:track:02rdJEj79nn2HCSMmsb8dY,spotify:artist:5BCnLrqpwYtufR1bDWn0hG,spotify:album:5bo68qHIH6DqSGqmJs6Yky
45,Song for QT,Bad Snacks,4/10/20,139746,15,Neat Tape 2,https://i.scdn.co/image/ab67616d0000b2734335ab9a2cfba86048827307,spotify:track:38JdARcyOkJn2FaHIzjYur,spotify:artist:5gZDpKtrxDf0ULvDuhLMZy,spotify:album:1Z44EYLO9CxP70WxfccYaJ
46,immortal - Snakehips Remix,Elley Duhe,6/30/17,189000,38,immortal (Snakehips Remix),https://i.scdn.co/image/ab67616d0000b273e7427935cc0605ea2b7abf36,spotify:track:52aLcfyEf3NvnxwlrluEB0,spotify:artist:67MNhiAICFY6Pwc2YxCO0K,spotify:album:1hdWXbfKZ2oIe6vtTRZSFf
47,So Good,Destiny's Child,7/27/99,193933,55,The Writing's On The Wall,https://i.scdn.co/image/ab67616d0000b2733718df75b57340c1947747e8,spotify:track:1pLJSpfeHXsIyJS1BmKrrr,spotify:artist:1Y8cdNmUJH7yBTd9yOvr5i,spotify:album:283NWqNsCA9GwVHrJk59CG
48,Breeze,Marius,8/9/19,213173,43,Makeshift,https://i.scdn.co/image/ab67616d0000b273a5b8accd5ea4933dd80ecc5e,spotify:track:4Exwb3OMn3WLkAPMwb0BCa,spotify:artist:0dXCvd6lpLfZBKTFjUF1R3,spotify:album:7KoWpv7Dc54ubDVJ4XfHRg
49,Just What I Am,Kid Cudi,4/12/13,228026,69,Indicud,https://i.scdn.co/image/ab67616d0000b273b9ab5cc935d2327a7d2bc629,spotify:track:20bJBbPapGQ4bqs0YcA9xY,spotify:artist:0fA0VVWsXO9YnASrzqfmYu,spotify:album:262o5a05pMUDSV2uzo5EwQ
50,Cinnamon Girl,ASL,7/27/18,212574,47,Beach House,https://i.scdn.co/image/ab67616d0000b273fd619cb95c69b0e9906b490b,spotify:track:6JaZQ3gFgf2mH3p6jIbYI0,spotify:artist:2XxgHIPXNgHGbvtBBGZrKm,spotify:album:5shnElSTugZ2ITzWUmDS5L
