track_name,artist_name,album_name,release_date,duration,song_popularity,album_img,track_uri,artist_uri,album_uri
Bulletproof Love,Pierce The Veil,Selfish Machines,2010-06-21,237400,63,https://i.scdn.co/image/ab67616d0000b2735eae69bbe37d5f382155e387,spotify:track:6bGac1gBHs7kUKihrudMzq,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:01dcOm8Whefyve6zChrq9Q
King For A Day,Pierce The Veil,Collide With The Sky,2012-07-17,236293,73,https://i.scdn.co/image/ab67616d0000b273077cac00c2d9075e6f742570,spotify:track:1IT0WQk5J8NsaeII8ktdlZ,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:661Hz0qJK8WIp7vAWsqKvk
The Cheap Bouquet,Pierce The Veil,A Flair For The Dramatic,2007,229093,44,https://i.scdn.co/image/ab67616d0000b273d2d0137c32938ae8cb44e0ca,spotify:track:5hC3nG6GuJoTUZixqS0Co4,spotify:artist:4iJLPqClelZOBCBifm8Fzv,spotify:album:6LkthUHeWKSJsXhjs7SXFq
Until the Day I Die,Story Of The Year,Until the Day I Die,2003-09-16,235200,35,https://i.scdn.co/image/ab67616d0000b2732baa95f62de624c0d79fd231,spotify:track:4w6mSxebOG12tvw1bm9oxu,spotify:artist:0KDuKk6YdEu3hR56HtXmxt,spotify:album:5sbZlRLS04WGSnBbREy8LM
Buried a Lie,Senses Fail,Let It Enfold You,2004-09-07,179986,53,https://i.scdn.co/image/ab67616d0000b2737ea194192fd7de75a6379813,spotify:track:2y8VWxzuw49UaIc4F5QIQk,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,spotify:album:2NLyP6U1OZZ8d4PvbVANLT
Something,Escape the Fate,This War Is Ours (Deluxe Edition),2010-04-27,217293,48,https://i.scdn.co/image/ab67616d0000b273b69af5d9f8fb68e9c820d662,spotify:track:6RBY5ToIdDyhM1JNxEYqhd,spotify:artist:5ojhEavq6altxW8fWIlLum,spotify:album:56a9Tuww0ddc52DHYG61Ai
"Searching, Seeking, Reaching, Always",We Came As Romans,To Plant a Seed,2009-11-03,176373,23,https://i.scdn.co/image/ab67616d0000b2731a8ba9aa6ad6b8e8a15bd751,spotify:track:1pN0aOCQ1av1ZGcM1tX8u7,spotify:artist:6qO6LhD6FuXK5e2PtfAIMz,spotify:album:44795EGYAZXGdRhV0pgTIB
Prove Me Right,Memphis May Fire,Challenger,2012-06-26,249573,42,https://i.scdn.co/image/ab67616d0000b27361c5b88a32459a575a273d7c,spotify:track:0t3IA88SWvS4W7zAfxgKA4,spotify:artist:7cNNNhdJDrt3vgQjwSavNf,spotify:album:6qfsRtzIJdze9OsooWVNXE
"I'm the Rehab, You're the Drugs",Destroy Rebuild Until God Shows,D.R.U.G.S.,2011-02-18,245706,38,https://i.scdn.co/image/ab67616d0000b273d45d8d9ca0fe04b11cbc48eb,spotify:track:6kZfkIJhPB7OJSdzSxXhYc,spotify:artist:6XjXff8FNS5CqpF8dVAtoo,spotify:album:6amGCB0oKRjnzmbyjapMst
Vices,Memphis May Fire,Challenger,2012-06-26,248066,45,https://i.scdn.co/image/ab67616d0000b27361c5b88a32459a575a273d7c,spotify:track:1Ny4Sr987Cs8vbhPMyXnUp,spotify:artist:7cNNNhdJDrt3vgQjwSavNf,spotify:album:6qfsRtzIJdze9OsooWVNXE
Can You Feel My Heart,Bring Me The Horizon,Sempiternal (Deluxe Edition),2013-04-02,227296,2,https://i.scdn.co/image/ab67616d0000b273f0e49b9bd7ca3dc5510611c7,spotify:track:1PInWkBARsxLyouDqa2GtF,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,spotify:album:4dhfdOEUI4tfqwdgouFTQA
Another Song About the Weekend,A Day To Remember,Homesick,2009,225653,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:7rfIaXVwpHiyUcUmsag4XN,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
You Already Know What You Are,A Day To Remember,Homesick,2009,87520,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:6G63WB5OC8ACwEEOizHhnV,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
Holdin' It Down for the Underground,A Day To Remember,Homesick,2009,203893,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:4hjADSjvdIIW3xchE5h1eS,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
Homesick,A Day To Remember,Homesick,2009,236613,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:1WoVRr4ZKgIdshBwXCl3pq,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
Welcome to the Family,A Day To Remember,Homesick,2009,179933,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:16dE1ZQujHYFV0J3n3D9H0,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
Mr. Highway's Thinking About the End,A Day To Remember,Homesick,2009,255826,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:6rx6Qr5BCVB4MaIvSYSsh1,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
My Life for Hire,A Day To Remember,Homesick,2009,213800,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:5EFSJ6Or2ViON4jKL6xvB0,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
NJ Legion Iced Tea,A Day To Remember,Homesick,2009,211133,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:6KyOCzf2A2jjROH4ZokTEw,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
"I'm Made of Wax, Larry, What Are You Made Of?",A Day To Remember,Homesick (Special Edition),2009,180840,0,https://i.scdn.co/image/ab67616d0000b2732dc8d7a0550d3a14f96fb531,spotify:track:49WmLvy3dH89XLdviCW9RR,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:3OuD9buakmyztsrZkdoM3J
The Downfall of Us All,A Day To Remember,Homesick,2009,209093,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:6G7URf5rGe6MvNoiTtNEP7,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
Since U Been Gone,A Day To Remember,For Those Who Have Heart Re-Issue,2008,198266,0,https://i.scdn.co/image/ab67616d0000b273eb1f15b20ecdbaaf02393a05,spotify:track:1HykUKaVU0CEUvv1vLKkXj,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:1tVzHnNzqvnpUgeThbHJF7
All I Want,A Day To Remember,What Separates Me From You,2010,202640,0,https://i.scdn.co/image/ab67616d0000b273d2477f14fcb48c2a3043afdb,spotify:track:3imITUqEhkebNbOoS1yrWm,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:2kllnMabPw1hYID0MhQRK0
If It Means a Lot to You,A Day To Remember,Homesick,2009,243226,0,https://i.scdn.co/image/ab67616d0000b27363fc50e8849eb4c55e42305f,spotify:track:6J7cSyvSCnPwv3vqHchEfL,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,spotify:album:34eR6ev1GGZHmxNTEfRobW
You're Ever So Inviting,Underoath,Define The Great Line,2006-01-01,253826,42,https://i.scdn.co/image/ab67616d0000b2732356287844a9caa378291699,spotify:track:5rK0oa87GjgVTJ8bGcaape,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,spotify:album:6YQu7tXYfN1r2NLx8tfEI6
Writing On The Walls,Underoath,Define The Great Line,2006-01-01,242413,59,https://i.scdn.co/image/ab67616d0000b2732356287844a9caa378291699,spotify:track:313yF0VXTCmFFoYEJF7nBQ,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,spotify:album:6YQu7tXYfN1r2NLx8tfEI6
In Regards To Myself,Underoath,Define The Great Line,2006-01-01,204213,45,https://i.scdn.co/image/ab67616d0000b2732356287844a9caa378291699,spotify:track:3VC4KHC7cRhuG6nYx4f1qj,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,spotify:album:6YQu7tXYfN1r2NLx8tfEI6
